	12858.0BR.3.R1.fastq.gz	12858.0KC.2.R1.fastq.gz	12858.0MR.4.R1.fastq.gz	12858.0TB.1.R1.fastq.gz	12858.10BR.49.R1.fastq.gz	12858.10KC.47.R1.fastq.gz	12858.10MR.50.R1.fastq.gz	12858.10TB.46.R1.fastq.gz	12858.11BR.52.R1.fastq.gz	12858.11KC.51.R1.fastq.gz	12858.11MR.53.R1.fastq.gz	12858.11TB.81.R1.fastq.gz	12858.12BR.56.R1.fastq.gz	12858.12KC.55.R1.fastq.gz	12858.12MR.57.R1.fastq.gz	12858.12TB.54.R1.fastq.gz	12858.13BR.60.R1.fastq.gz	12858.13KC.59.R1.fastq.gz	12858.13MR.61.R1.fastq.gz	12858.13TB.58.R1.fastq.gz	12858.14BR.64.R1.fastq.gz	12858.14KC.63.R1.fastq.gz	12858.14MR.65.R1.fastq.gz	12858.14TB.62.R1.fastq.gz	12858.15BR.68.R1.fastq.gz	12858.15KC.67.R1.fastq.gz	12858.15MR.69.R1.fastq.gz	12858.15TB.66.R1.fastq.gz	12858.16BR.72.R1.fastq.gz	12858.16KC.71.R1.fastq.gz	12858.16MR.73.R1.fastq.gz	12858.16TB.70.R1.fastq.gz	12858.17BR.76.R1.fastq.gz	12858.17KC.75.R1.fastq.gz	12858.17MR.77.R1.fastq.gz	12858.17TB.74.R1.fastq.gz	12858.18BR.82.R1.fastq.gz	12858.18KC.79.R1.fastq.gz	12858.18MR.83.R1.fastq.gz	12858.18TB.78.R1.fastq.gz	12858.19BR.86.R1.fastq.gz	12858.19KC.85.R1.fastq.gz	12858.19MR.87.R1.fastq.gz	12858.19TB.84.R1.fastq.gz	12858.1BR.7.R1.fastq.gz	12858.1KC.6.R1.fastq.gz	12858.1MR.8.R1.fastq.gz	12858.1TB.5.R1.fastq.gz	12858.20BR.90.R1.fastq.gz	12858.20KC.89.R1.fastq.gz	12858.20MR.91.R1.fastq.gz	12858.20TB.88.R1.fastq.gz	12858.21BR.94.R1.fastq.gz	12858.21KC.93.R1.fastq.gz	12858.21MR.95.R1.fastq.gz	12858.21TB.92.R1.fastq.gz	12858.22BR.98.R1.fastq.gz	12858.22KC.97.R1.fastq.gz	12858.22MR.99.R1.fastq.gz	12858.22TB.96.R1.fastq.gz	12858.23BR.102.R1.fastq.gz	12858.23KC.101.R1.fastq.gz	12858.23MR.103.R1.fastq.gz	12858.23TB.100.R1.fastq.gz	12858.24BR.106.R1.fastq.gz	12858.24KC.105.R1.fastq.gz	12858.24MR.107.R1.fastq.gz	12858.24TB.104.R1.fastq.gz	12858.2ABR.15.R1.fastq.gz	12858.2AKC.10.R1.fastq.gz	12858.2AMR.12.R1.fastq.gz	12858.2ATB.9.R1.fastq.gz	12858.2BBR.11.R1.fastq.gz	12858.2BKC.14.R1.fastq.gz	12858.2BMR.16.R1.fastq.gz	12858.2BTB.13.R1.fastq.gz	12858.3BR.19.R1.fastq.gz	12858.3KC.18.R1.fastq.gz	12858.3MR.20.R1.fastq.gz	12858.3TB.17.R1.fastq.gz	12858.4BR.23.R1.fastq.gz	12858.4KC.22.R1.fastq.gz	12858.4MR.25.R1.fastq.gz	12858.4TB.21.R1.fastq.gz	12858.5BR.28.R1.fastq.gz	12858.5KC.27.R1.fastq.gz	12858.5MR.29.R1.fastq.gz	12858.5TB.26.R1.fastq.gz	12858.6BR.32.R1.fastq.gz	12858.6KC.31.R1.fastq.gz	12858.6MR.33.R1.fastq.gz	12858.6TB.30.R1.fastq.gz	12858.7BR.36.R1.fastq.gz	12858.7KC.35.R1.fastq.gz	12858.7MR.37.R1.fastq.gz	12858.7TB.34.R1.fastq.gz	12858.8BR.40.R1.fastq.gz	12858.8KC.39.R1.fastq.gz	12858.8MR.41.R1.fastq.gz	12858.8TB.38.R1.fastq.gz	12858.9BR.44.R1.fastq.gz	12858.9KC.43.R1.fastq.gz	12858.9MR.45.R1.fastq.gz	12858.9TB.42.R1.fastq.gz	12858.NC0.108.R1.fastq.gz	12858.NC11.110.R1.fastq.gz	12858.NC12.114.R1.fastq.gz	12858.NC17.111.R1.fastq.gz	12858.NC23.112.R1.fastq.gz	12858.NC5.109.R1.fastq.gz	12858.NC6.113.R1.fastq.gz	12858.PCRnc1.24.R1.fastq.gz	12858.PCRnc3.80.R1.fastq.gz	12858.PCRnc4.115.R1.fastq.gz
12858.0BR.3.R1.fastq.gz	0.0	0.26279744590021886	0.15757156935881736	0.2783272914842154	0.15750527113472598	0.17516124940642494	0.20670402946603572	0.3279379640305998	0.1392957829931053	0.2959871582449737	0.16097459876078538	0.1821773065453085	0.17863519344732828	0.2286990046234763	0.16749268714955395	0.3732489538204102	0.1305246032204002	0.2723918163286336	0.27884391251132384	0.2946374257687198	0.1197761508089854	0.2908598724878839	0.1259266471368641	0.24683162864424651	0.1275130505942933	0.24922573634637582	0.12991119686803154	0.1851133765993385	0.1280095980931647	0.29748956092842416	0.3357865900286501	0.17227696723699493	0.23171306681122555	0.2512825049590248	0.19734247999158674	0.18395623349856768	0.1963095558253363	0.23790668098046505	0.14630800900638616	0.1837967701404812	0.10658840583081737	0.3153712369856219	0.2987749697974101	0.2010374707776828	0.16461475630813904	0.33254357498593756	0.23644232828731782	0.22437599266119912	0.20889544963064255	0.24020612680614642	0.13303479564975323	0.1254711638344051	0.16871255924526393	0.20205448589416652	0.15786514250260314	0.20784964809243042	0.13438410529752376	0.16931214807581807	0.1660686091871552	0.24048786710491113	0.1328154916847929	0.24996700085543644	0.14806811946258994	0.15705821544276227	0.14961079521128634	0.21139963357362432	0.15753559901535866	0.1591135377874096	0.15003378106695395	0.1850959495933931	0.16558014776696145	0.19956670569514331	0.18552105622866352	0.34395266199129615	0.20353631816431494	0.21327840791946162	0.14481993685896477	0.3456850598444354	0.1535078206115885	0.21966534224558984	0.13779208965734907	0.28426342420370393	0.1586277693309691	0.1718905506644284	0.30893663476975236	0.20163250829917173	0.18980563065942224	0.13142971997616965	0.15507317916349653	0.25083253509754055	0.18467194476486345	0.23700373674734393	0.21298479470610782	0.2573659470011519	0.13254432198587152	0.1768799384418343	0.30109083236283785	0.24306698273471017	0.1713840625239833	0.21208833035529948	0.19151159545956964	0.2305999700818659	0.17582142372658882	0.16174770879425546	0.2974322913389291	0.2573161180428907	0.39642356153469066	0.27700068144386253	0.3133760835770009	0.29812853432518377	0.2970421257073406	0.3205109222813977	0.34415154903392714	0.3296050544534744
12858.0KC.2.R1.fastq.gz	0.26279744590021886	0.0	0.23625965976168115	0.3239406816486707	0.2339919540465478	0.256964812852439	0.20882762253462236	0.37875823853793716	0.25874192419319153	0.3395568347712986	0.24555131252938	0.2712548360403193	0.21216991952640887	0.2971107861400685	0.2308953709073059	0.3852280919263752	0.24061734160830506	0.3107546461200233	0.32166549178243603	0.3648070733229692	0.2504039152256995	0.3331292115083782	0.2374822964815453	0.3380230181055176	0.2528834071615801	0.3307630007956653	0.2232529054293253	0.2677566278656486	0.22103045201753393	0.35355173009416746	0.3920949551955347	0.19410448449033446	0.3036812875409645	0.3207541935605133	0.2865803593573808	0.26088332781829304	0.2723538527252465	0.31217213328169	0.24212003279180455	0.2939885420847332	0.2503449030343088	0.36868483959059717	0.3609062219907339	0.19726018088726133	0.2597418782454163	0.3770357670766819	0.31505296774362107	0.2601533497840295	0.31046641918083034	0.32770832256507854	0.272861493826709	0.26636187053380644	0.27515320570557994	0.3221778113492023	0.2348399325671503	0.250495159763163	0.3035635127079767	0.2837719528323184	0.24690674627539255	0.33608770064496274	0.2630772639789678	0.30134866375947966	0.22529003361674904	0.26950533727407333	0.2564750230090451	0.31585810555626526	0.24454654227693642	0.23321110236009907	0.2886112066665256	0.17596622909208115	0.24959102291305618	0.3154509579106089	0.30370325944113175	0.37145655560226665	0.17729961769541797	0.3052204799645467	0.28881967748782833	0.22080288485983945	0.24037671983557118	0.2281688716937154	0.2498262375337636	0.3074383619425193	0.22874214284040714	0.21853401213275572	0.36234332617471765	0.2480159141447144	0.2667197824386412	0.26430116661628034	0.23103022774749316	0.29326562622758867	0.2448768493379204	0.20147854566866713	0.1797718991610816	0.3101312350756138	0.24273981025073205	0.2064153682102353	0.3392370369295592	0.31116014009954585	0.2503843575512872	0.2283273046848357	0.26226682901600357	0.3066623650900977	0.25127032512760883	0.26708991297697077	0.3481916649342456	0.31815347913712366	0.4346545984047038	0.33348151705072115	0.3627200595035468	0.3531750361453224	0.3542740364931439	0.3660855437181913	0.38161889403919647	0.3858649809788179
12858.0MR.4.R1.fastq.gz	0.15757156935881736	0.23625965976168115	0.0	0.2515250681769928	0.10976744690762802	0.20978628886205394	0.1437710890563628	0.2902339707143972	0.12957330833593314	0.2860593024388348	0.12519323023608767	0.16628090950114807	0.14360623423812507	0.2468365334662	0.11224296630253423	0.35433845886135823	0.11314196599480984	0.27014951086949984	0.2951628752619087	0.26741270166841763	0.11228679241408762	0.3120078696205561	0.13082180357453266	0.21820585299554773	0.12036915089487392	0.2799137955539238	0.11296915539096228	0.17849404265647964	0.10518472326943012	0.3510327172245797	0.34198016930389724	0.1371414235520128	0.24911783479311472	0.27879208842963754	0.19101859772714866	0.15419822074299527	0.20881137247518586	0.26135789173288293	0.13270929927621572	0.18327806243236536	0.1259537816490748	0.3269754911029813	0.29745958790469945	0.16550458882038238	0.1328646784916322	0.3451407109307213	0.21772214896525022	0.19511439203528955	0.2019530842706308	0.2852169357218637	0.15689348237743517	0.15646504203259182	0.16653493057380755	0.2487309464803448	0.13040003881935705	0.17643778711111469	0.2027269218445392	0.23886784632042662	0.15521877436158493	0.23872450341189067	0.11050807756091163	0.2970591578045453	0.12587707556402053	0.15551537729646508	0.10960800236338206	0.27478506108349976	0.12044632137137806	0.16399032610187583	0.19782092221985842	0.1666992954869289	0.13054039604583134	0.21259211353306431	0.2104371536515294	0.38641249269646105	0.1450199708120017	0.20656120668819988	0.18112658914496058	0.2871419273951734	0.07451637221028536	0.16719121635673911	0.12429690604769728	0.2693483295154705	0.09281911030861097	0.15051433802092648	0.3094096400851594	0.18576562818228942	0.12363943566698478	0.15930595322701493	0.13396920455305322	0.24969125535308784	0.12404971600239342	0.18097296938262958	0.17090233733403037	0.28050850599895577	0.12375605044638552	0.13588273089387307	0.2635453687973124	0.2840030502454432	0.09533121263989594	0.147680399204965	0.18789608677827396	0.2513927636258155	0.14001552237567264	0.16254665410069777	0.3164520318512324	0.3010957875551476	0.4129491241824591	0.32391686131009245	0.36067788300777176	0.3526652707406917	0.3397350881710086	0.3695625646840681	0.37905454494423474	0.3663514455434839
12858.0TB.1.R1.fastq.gz	0.2783272914842154	0.3239406816486707	0.2515250681769928	0.0	0.27115315065197254	0.3225508551993054	0.3041455485389075	0.26380439115557847	0.2583209954352225	0.3978955191633934	0.29454724114451547	0.19285384718499757	0.267796005179759	0.34418687091458755	0.28401898693456934	0.26618503594324167	0.23962405534269737	0.3741214291495826	0.3531622356493893	0.2122764132068576	0.27208881689138653	0.3714854092592935	0.279790869635596	0.20547284848433797	0.2908522103142359	0.3584704554248513	0.2798746533088334	0.24741099633190575	0.25917761934263334	0.40546338205653437	0.4263724359871614	0.2481374887400615	0.3503628541340829	0.3570424570306983	0.3368321350644974	0.17800364892642345	0.30564021848700873	0.3508391431623294	0.29984491686820924	0.20137268584429632	0.280129081958988	0.410304115288883	0.40383619842245194	0.22451936651400814	0.23819066526320978	0.420479089346279	0.3560661463956702	0.25163138004635793	0.33742432672384043	0.36968689993464476	0.2856569676339898	0.20307135118230132	0.31507374238847285	0.3537642136992843	0.29626249796688364	0.22641044022598728	0.30572910397440917	0.3422927551063494	0.3102414678372018	0.21887899948008827	0.2997521336529854	0.34278583892491055	0.2971636000619239	0.22835422823057003	0.2248415540168193	0.35587584459192384	0.3058686231727849	0.23850168430568788	0.2946931588205822	0.24982023118982172	0.29824204993660053	0.19030520554759162	0.30656195678725195	0.42556680684121184	0.27023730136810775	0.16632843540925857	0.2522736013103138	0.40074301786731825	0.2555120963125673	0.21424375265050302	0.2607862004647961	0.379574874916614	0.2657259310101319	0.22469605544416946	0.378477390089409	0.3169631338774772	0.3148853445269218	0.25373186674000214	0.2652724467762781	0.3564486342680052	0.3157219012510715	0.22631986494403006	0.27106796115840043	0.3585659037609687	0.27443184327175296	0.2441869434820962	0.320120689675076	0.3629076881440933	0.23681190061238547	0.2086722377016416	0.20216311007497387	0.3432914827060231	0.2927668868983599	0.2104547195759343	0.3715792237271522	0.34700809300260205	0.4586705869131961	0.37078723967300353	0.3905665932595957	0.39826818747775106	0.39478415526346816	0.4091752303616229	0.40861608294472496	0.4206412898268128
12858.10BR.49.R1.fastq.gz	0.15750527113472598	0.2339919540465478	0.10976744690762802	0.27115315065197254	0.0	0.16968712274999864	0.10338980957265574	0.32970537217831075	0.14604812951129983	0.25084965126202347	0.06350948013980715	0.1995413040722673	0.133415527233386	0.20521712425382485	0.05570576698068641	0.3446240580400889	0.13382095178345924	0.2362876867826193	0.24402946931699376	0.31463440328272646	0.12994083761483743	0.28177110987267817	0.08643704073841643	0.26548409783057947	0.12865079895470727	0.24705290784065992	0.09249294889165355	0.21854950156418188	0.12481897022194051	0.30402560491244535	0.2854305321869381	0.17570156570310794	0.20585253029936879	0.24670582798876986	0.15839777338168431	0.1899692798429751	0.15228331658318783	0.25286296565734634	0.09147585013902179	0.21397494131604547	0.1328155201044507	0.30244376662513445	0.24622011196208451	0.20220361574696355	0.18112559193800332	0.30607059319556457	0.1839037854645466	0.24195509434425436	0.16727480576626605	0.280009988871385	0.17707047738122778	0.18276884073094618	0.12371525232602752	0.24231539168110383	0.10643842167578264	0.2233853515850072	0.19672844461066896	0.2118508999479649	0.10951586771848434	0.2819703062855879	0.09767542872389731	0.2610997377035504	0.08969245109146695	0.1906679003282237	0.12941430424795664	0.2679297178058851	0.09847976909581439	0.20502597214451979	0.17677698360513922	0.19132551639969603	0.10395234215932603	0.25306856991017823	0.2303118751738721	0.34299217800741477	0.1399457822271226	0.23322863834480084	0.21537332000154225	0.29158825187727644	0.09243749986912206	0.19828406643715646	0.14550653555337434	0.25385196528472553	0.08300677537866387	0.18079090081049629	0.26135126593572555	0.1610464386441941	0.08859034591961815	0.16378990622105574	0.10448033038711202	0.2260022110400915	0.09960063494591459	0.20846240440998548	0.1732493565607737	0.24613895618793213	0.08752342740858085	0.16562734464400974	0.2929207253120477	0.2521818562399169	0.10376253057729748	0.19715646716053223	0.20538667200803595	0.20891037304137938	0.06587992309912774	0.16439279950672928	0.277173552929724	0.25791540744142083	0.38671995676180687	0.27382494612704245	0.31109870831495884	0.30374811796234047	0.2907897490557278	0.3076649637041263	0.3277558009674909	0.3085703423297631
12858.10KC.47.R1.fastq.gz	0.17516124940642494	0.256964812852439	0.20978628886205394	0.3225508551993054	0.16968712274999864	0.0	0.21455484911197034	0.37593089333507657	0.19599083204008358	0.1973964893769195	0.16677570860313085	0.25810693530486045	0.20719146806764707	0.12765602122685477	0.17464188419085905	0.39285843604021214	0.19226684954790413	0.17401796068338907	0.2600804860107506	0.3555808192901392	0.2038121503829204	0.19061379966678738	0.1422630424383007	0.3252641586022536	0.17792454871570612	0.1612369793299255	0.14966567147766782	0.26228194742335414	0.18528721108341026	0.20673576893393775	0.29892906700093286	0.23324994268615062	0.22382931820755214	0.14401290454581558	0.12622347437489	0.24401669887345154	0.18201875165916526	0.14792562617166224	0.14354954752063562	0.2556156382691152	0.1559118886525901	0.21277621231727453	0.26732800375194243	0.2504100325300173	0.2508536408922298	0.2266903513715661	0.22888463851081786	0.29527678373788896	0.2002120719604805	0.16701359418603542	0.19799547637017786	0.22111413292553447	0.14543561153248163	0.14861291457182768	0.1510976245854523	0.2826553454384314	0.22610586440245753	0.11649763426061546	0.14237916700802256	0.323503492676349	0.16757775820716156	0.18492072490684403	0.14672875105444796	0.24376789271498994	0.20534967757140513	0.17606481281638778	0.15458718386719525	0.24995894634097968	0.21108968718213109	0.21548271916255768	0.1631898903259327	0.2919984514276182	0.22356359024288103	0.2616894081548271	0.22191417919856865	0.2818027752674504	0.23334185175295855	0.32889891568614854	0.2012511691581616	0.2722820497968678	0.21732904235541178	0.17097954518129016	0.17385865913489432	0.22983590829593004	0.26850369881981456	0.11153299284016059	0.19805604199019133	0.1693944593420549	0.17359662141137497	0.14828469033654015	0.2050987943058372	0.2815117429319316	0.2472099823531056	0.1322269264824521	0.13855301646590218	0.2176623482101038	0.3352076182126401	0.12567587182466602	0.20756596456170404	0.25931337711962577	0.24058760116135167	0.10857449342414746	0.16312600696655932	0.21930886572181135	0.26716841344854486	0.23961753703974684	0.3560386585960083	0.2661486698320701	0.3146511255042795	0.2916044919352053	0.2907211652312749	0.29440030246812005	0.3371107937833709	0.25269635554327685
12858.10MR.50.R1.fastq.gz	0.20670402946603572	0.20882762253462236	0.1437710890563628	0.3041455485389075	0.10338980957265574	0.21455484911197034	0.0	0.35200430647224323	0.191608243559684	0.29764207626525163	0.10194388886651116	0.234662412491646	0.14027590997790965	0.25429391591802275	0.10104270086499473	0.3724407425007387	0.17662071353858808	0.27026270072636216	0.2754906231847306	0.3392619003325786	0.15553163905744732	0.3157763557589358	0.14857635706695718	0.29008178020374	0.16688534986657397	0.2794871596738796	0.13509832793796095	0.23681355322494374	0.15320461551029638	0.3266527620449756	0.34011378523700264	0.17396833684437507	0.22701286092352924	0.2771595672940327	0.20598100077441603	0.22446730771167867	0.2085901851515424	0.27392645689942813	0.15046955968505915	0.2634539589703964	0.17728123214247007	0.33363781420261224	0.29836990485128634	0.19613656322074674	0.21749185390602507	0.35057707355949713	0.23224355144927158	0.2379785514875656	0.2288792238567747	0.2968366945898496	0.21401459525305314	0.2251065751778559	0.19778700780150366	0.2732080669324208	0.158215977080898	0.22324255884902228	0.2259359694934194	0.23542785460712887	0.17027394260096962	0.3041677724256429	0.1519376528671578	0.2905981727570037	0.1327162256839477	0.22616530999729648	0.17454227863117047	0.2941491747358777	0.14487291298090998	0.20754576003582423	0.2179833177906501	0.18353144627042858	0.15444822434235805	0.27878662318464675	0.2676942017433941	0.36557824454509436	0.14065369345660472	0.2648870058876608	0.25402335448256497	0.26152314358308515	0.12635252133335262	0.20190399717517635	0.18343665530444286	0.2855896721153325	0.12544710862045605	0.1910831941597886	0.3040124384533027	0.2070676245389717	0.11443019488335797	0.2135307265505495	0.15077441877973377	0.27107151503206695	0.08759645922548	0.19922403263406646	0.16645678456393265	0.2897411257321878	0.14671365805545128	0.17222174835917597	0.31602412412340475	0.28896675324919735	0.1503110107299657	0.20251016538259106	0.23587357173777598	0.26631487498993084	0.1315894927535929	0.20246977435161456	0.310851922094618	0.28119012410122707	0.41527542123980377	0.2932654568842662	0.3393910592949148	0.33593101764893596	0.3175047856010543	0.33085812726278047	0.3455288356033375	0.3417425809034233
12858.10TB.46.R1.fastq.gz	0.3279379640305998	0.37875823853793716	0.2902339707143972	0.26380439115557847	0.32970537217831075	0.37593089333507657	0.35200430647224323	0.0	0.26434202080016056	0.4488591679093672	0.3423907539352783	0.21387795042537538	0.32207954091698116	0.3978327893295226	0.34131787509705297	0.36149004830350084	0.25625567357839796	0.4229187730438278	0.42421488038715716	0.20765412314616627	0.30082977284489804	0.43445286961336815	0.32825042370269064	0.23198182024714306	0.31379896286382064	0.4150447409566667	0.31912583435333886	0.21613756471438295	0.2941100796077616	0.4774258679410013	0.4831217111944008	0.2643247803304566	0.4054123884312717	0.4290346971552253	0.38595199010447034	0.21770070358522048	0.3670431834880207	0.40288177040242557	0.3556929198533188	0.19744810204798638	0.3079639877400353	0.4590605078923913	0.451251616516624	0.2583694499697729	0.20985657556841372	0.48418022048998605	0.38870316079847744	0.2136958599783924	0.3624208689099254	0.40876900378244224	0.27494413563686354	0.27016658455274234	0.35302042759566593	0.3940303540470456	0.3425208080900347	0.23803649162005436	0.3590383469066962	0.3881571220243786	0.35457632118735244	0.13350427085026717	0.3347326894867128	0.41489743166205456	0.35155410949275967	0.2220172020916176	0.2703397134374534	0.40441357571315806	0.3502104887688796	0.27215953865156717	0.2590318068489822	0.3017089510385522	0.3509452915339804	0.2431795110710738	0.2845061976649371	0.49224068763770246	0.31874138958212755	0.23842640840522378	0.2347964968722391	0.4514045918231221	0.28687014226270197	0.2325787388197711	0.2503925568039762	0.4365876830858038	0.32036399809961935	0.25443573905896827	0.43207498127748034	0.3845642497347699	0.35254338618480274	0.29424780968211245	0.2883895294510915	0.42558731470488576	0.341087163083186	0.2251298916030012	0.31070606773723447	0.43112398376110783	0.32872386976694185	0.24329238714677417	0.14750836374538498	0.43027904776894926	0.2692705425206675	0.20546683789899625	0.23859395812625864	0.4171876731627207	0.3557969233808863	0.24201557573109425	0.4379215833805311	0.42475044354346186	0.5133417534781556	0.44567125718830014	0.46559283377341787	0.4730601169981268	0.46648592691715807	0.48010169273877823	0.4784689075186722	0.4933926024426412
12858.11BR.52.R1.fastq.gz	0.1392957829931053	0.25874192419319153	0.12957330833593314	0.2583209954352225	0.14604812951129983	0.19599083204008358	0.191608243559684	0.26434202080016056	0.0	0.30712290916114016	0.15329959279338434	0.1206558534963841	0.1429864032159809	0.24228396576655484	0.15080262064172462	0.32765471517488604	0.06469617404461281	0.2808946009798577	0.2929663780646241	0.2528962456407824	0.10103910822518217	0.3008542132359107	0.1270128085205716	0.23579276015499506	0.10822849193206498	0.2675197577828319	0.10926767543590676	0.1427352424961681	0.09015367308642724	0.3295683909660257	0.34861907952835647	0.15134534936662333	0.2497750826749851	0.2583655257292008	0.20421028823368417	0.13731847298546623	0.19273275490565792	0.248306557353107	0.1479027421505978	0.1352605681974634	0.09199047973816045	0.3123513569331118	0.3060419325192012	0.2001026606542224	0.10189587284618892	0.33585107411763243	0.24224815318133017	0.17510205089337053	0.20475375031647353	0.25996342502158065	0.08569514090974138	0.13797380369178183	0.17150577381526882	0.22753364429847936	0.1431220467633934	0.20020729603708368	0.16965238149106313	0.20740394608982	0.16388806199996406	0.19977625172770747	0.12967575784415988	0.28142424918867515	0.14066944563589184	0.10488520753787732	0.11484096788481794	0.25023052311310096	0.14818106096760414	0.17060457463492476	0.12820319804358452	0.18031232669926214	0.1615773656585795	0.21595162844926866	0.15826117101572282	0.3733991254686281	0.17866999503053133	0.20056203272196213	0.11829022413111626	0.32687527032632724	0.11586411117262878	0.17080783594845045	0.09376845570870114	0.28976068161392354	0.13689496909490018	0.12771348045003855	0.31161816800538444	0.1976526954853402	0.17291145101400315	0.13378616813243843	0.11820055453626731	0.2628748898087756	0.16711118842375963	0.1648364361933728	0.18834613497454977	0.2689271301689717	0.1278801629340516	0.13157348938942814	0.2324485650787511	0.2665451006087548	0.12037895429645237	0.1419838847809419	0.1571162298794205	0.24473938082331945	0.1642114893115458	0.1253603746846318	0.30906943880083	0.2833003988361682	0.4065003856764629	0.3095940567114646	0.34922331535566875	0.3370825916922644	0.33022839833954193	0.3481860417186145	0.3703821504430253	0.3443021925286701
12858.11KC.51.R1.fastq.gz	0.2959871582449737	0.3395568347712986	0.2860593024388348	0.3978955191633934	0.25084965126202347	0.1973964893769195	0.29764207626525163	0.4488591679093672	0.30712290916114016	0.0	0.27098340072914573	0.3675931384076613	0.28917569697472184	0.1194574953681403	0.26045615912663816	0.41001780783222286	0.3060976278833216	0.151196480530879	0.2868456755147641	0.4404229220656077	0.305434462417452	0.16389987101361184	0.25337211242352303	0.4118956941469981	0.2832976162786789	0.21361520630643108	0.26484613630454457	0.38129252478049946	0.30470598537656307	0.29960919223518195	0.24589844303642294	0.3571544722062495	0.27777467333346556	0.23326292269191137	0.19523007951923674	0.3506704509071441	0.26196541256342126	0.2524813117334705	0.21747073003502262	0.3510589141320793	0.2798253685326547	0.18828512533862957	0.24055400577558467	0.35849110090877995	0.35636759155875053	0.15707644647583796	0.2107995391257805	0.3995375907478944	0.23626433431248264	0.2976934762549615	0.31796957774038	0.32985250437493724	0.2308786652925808	0.2485792874737847	0.2308021116885961	0.3886458134812454	0.3455296392695519	0.24473274073129264	0.2179110290871169	0.4299661355364602	0.25715839750871555	0.26685325616205635	0.23511695638474095	0.3652525059730853	0.30902464970512145	0.29400019846676423	0.23442799220127705	0.36993443577456175	0.3223921898756177	0.32527231691122166	0.2350816526366893	0.39955956121785974	0.3446717937162911	0.29562552181023743	0.2902935836380207	0.3855403573028412	0.3428873923604058	0.35566029636379215	0.2974716891804687	0.35978836144395254	0.3227336298496547	0.20680511507386082	0.2454947753575666	0.3449195117108239	0.2103619879396001	0.16953454894033182	0.2806510782462878	0.23894977771977155	0.2677286386616507	0.18279709987142612	0.3076311714586048	0.36932624075243403	0.31772622162274666	0.2223719596654367	0.24320923412993017	0.3331993007229689	0.3889313209117819	0.24674419450559526	0.3004066269939066	0.3653824101080281	0.3394460914204447	0.16707961473630625	0.2426471975962293	0.33696172245143	0.21650560403294908	0.28166780017464726	0.3421564416475099	0.2961810850425842	0.34240081518442045	0.32204108075657606	0.31900230142956737	0.3280836786266126	0.36346944667524084	0.27702185806379825
